                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                 1.0505,                 1.0082,                 1.1562,                0.72719,                0.59783,                0.67445,                0.47075,                 1.1498,                 1.0477,                 1.1767,               0.000406,               0.000406,               0.000406
                    122,                 1.0516,                 1.0037,                 1.1519,                0.72833,                0.59681,                0.67454,                0.47082,                 1.1497,                 1.0474,                 1.1768,             0.00040105,             0.00040105,             0.00040105
                    123,                 1.0483,                 1.0014,                 1.1493,                0.72921,                0.59773,                0.67468,                0.47089,                 1.1494,                 1.0473,                 1.1765,              0.0003961,              0.0003961,              0.0003961
                    124,                 1.0545,                 1.0053,                 1.1516,                0.73061,                0.59796,                0.67499,                0.47094,                 1.1495,                 1.0472,                 1.1765,             0.00039115,             0.00039115,             0.00039115
                    125,                 1.0469,                 1.0012,                 1.1478,                0.73082,                0.59745,                 0.6751,                0.47093,                 1.1497,                 1.0469,                 1.1766,              0.0003862,              0.0003862,              0.0003862
                    126,                 1.0457,                 1.0029,                 1.1472,                0.73167,                0.59708,                0.67536,                0.47125,                 1.1499,                 1.0467,                 1.1768,             0.00038125,             0.00038125,             0.00038125
                    127,                 1.0519,                0.99729,                 1.1499,                0.73159,                0.59611,                0.67533,                0.47112,                 1.1501,                 1.0462,                 1.1768,              0.0003763,              0.0003763,              0.0003763
                    128,                 1.0468,                0.99709,                  1.147,                0.73158,                0.59647,                0.67503,                 0.4709,                 1.1499,                 1.0459,                 1.1766,             0.00037135,             0.00037135,             0.00037135
                    129,                  1.049,                0.99424,                 1.1499,                0.73345,                0.59468,                0.67516,                0.47083,                   1.15,                  1.046,                 1.1767,              0.0003664,              0.0003664,              0.0003664
                    130,                  1.044,                0.99132,                 1.1489,                0.73513,                0.59363,                0.67497,                0.47074,                   1.15,                 1.0456,                 1.1767,             0.00036145,             0.00036145,             0.00036145
                    131,                  1.037,                0.98244,                 1.1401,                0.73341,                0.59354,                0.67513,                0.47089,                 1.1502,                 1.0453,                 1.1767,              0.0003565,              0.0003565,              0.0003565
                    132,                 1.0386,                0.98801,                 1.1452,                0.73348,                0.59373,                0.67517,                0.47084,                   1.15,                  1.045,                 1.1765,             0.00035155,             0.00035155,             0.00035155
                    133,                 1.0393,                0.98643,                 1.1428,                0.73277,                0.59359,                0.67484,                0.47085,                 1.1501,                 1.0447,                 1.1765,              0.0003466,              0.0003466,              0.0003466
                    134,                 1.0378,                0.98532,                 1.1437,                0.73406,                0.59371,                0.67499,                0.47112,                 1.1504,                 1.0446,                 1.1766,             0.00034165,             0.00034165,             0.00034165
                    135,                 1.0442,                0.98224,                 1.1475,                0.73542,                0.59287,                0.67504,                0.47108,                 1.1506,                 1.0445,                 1.1767,              0.0003367,              0.0003367,              0.0003367
                    136,                 1.0385,                0.97893,                 1.1428,                0.73682,                 0.5926,                0.67502,                0.47092,                 1.1509,                 1.0443,                 1.1767,             0.00033175,             0.00033175,             0.00033175
                    137,                 1.0366,                0.98161,                 1.1413,                0.73794,                0.59173,                0.67496,                0.47115,                 1.1508,                 1.0445,                 1.1767,              0.0003268,              0.0003268,              0.0003268
                    138,                 1.0286,                0.97001,                 1.1389,                0.74057,                0.59005,                0.67538,                0.47117,                 1.1509,                 1.0442,                 1.1768,             0.00032185,             0.00032185,             0.00032185
                    139,                  1.038,                0.97443,                 1.1426,                 0.7428,                0.58733,                0.67519,                0.47112,                 1.1509,                 1.0441,                 1.1768,              0.0003169,              0.0003169,              0.0003169
                    140,                 1.0201,                0.96335,                 1.1359,                0.74226,                0.58819,                0.67526,                  0.471,                 1.1509,                 1.0442,                 1.1768,             0.00031195,             0.00031195,             0.00031195
                    141,                 1.0315,                0.96905,                 1.1375,                0.74177,                0.58906,                0.67555,                0.47118,                  1.151,                  1.044,                 1.1768,               0.000307,               0.000307,               0.000307
                    142,                 1.0318,                0.96277,                 1.1399,                0.74345,                0.58808,                0.67562,                0.47106,                 1.1511,                 1.0437,                 1.1768,             0.00030205,             0.00030205,             0.00030205
                    143,                 1.0263,                0.95822,                 1.1352,                0.74552,                 0.5873,                0.67578,                0.47133,                  1.151,                 1.0438,                 1.1768,              0.0002971,              0.0002971,              0.0002971
                    144,                 1.0272,                0.96269,                 1.1393,                0.74129,                0.58917,                 0.6758,                0.47153,                 1.1512,                  1.044,                  1.177,             0.00029215,             0.00029215,             0.00029215
                    145,                 1.0254,                0.95403,                 1.1355,                0.74129,                 0.5891,                 0.6759,                0.47158,                 1.1514,                 1.0438,                 1.1772,              0.0002872,              0.0002872,              0.0002872
                    146,                 1.0248,                0.96082,                  1.135,                0.74199,                0.58952,                0.67621,                0.47181,                 1.1514,                 1.0441,                 1.1771,             0.00028225,             0.00028225,             0.00028225
                    147,                 1.0222,                0.94767,                 1.1307,                0.73946,                0.59222,                0.67641,                0.47154,                 1.1515,                 1.0439,                 1.1772,              0.0002773,              0.0002773,              0.0002773
